TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Page Count,Place
A00075,99837338,1654,STC 10066; ESTC S101528,Free,Church of England.,1597,"Capitula siue constitutiones ecclesiasticÃŒ_ per Archiepiscopum, episcopos, & reliquum clerum Cantuariensis prouinciÃŒ_ in synodo inchoata Londini vicesimo quinto die mensis Octobris, anno Domini millesimo quingentesimo nonagesimo septimo ... congregatos tractatÃŒ_, ac posteÃŒÃŠ per ipsam Regiam Maiestatem approbatÃŒ_ & confirmatÃŒ_, & vtrÃŒ_que prouinciÃŒ_ tam Cantuariensi quÃŒÃŠm Eboracensi vt diligentiÃŒ_s obseruentur, eadem regia authoritate sub magno Sigillo AngliÃŒ_ promulgatÃŒ_.; Constitutions and canons. 1597",Church of England -- Government -- Early works to 1800.; Ecclesiastical law -- Great Britain -- Early works to 1800.,30,Londini
A00089,99835843,69,STC 10080; ESTC R212834,Free,Church of England.,1640,"Constitutions and canons ecclesiasticall; treated upon by the Archbishops of Canterbury and York, presidents of the convocations for the respective provinces of Canterbury and York, and the rest of the bishops and clergie of those provinces; and agreed upon with the Kings Majesties licence in their severall synods begun at London and York. 1640 ...; Constitutions and canons ecclesiastical",Church of England -- Government -- Early works to 1800.; Ecclesiastical law -- Great Britain -- Early works to 1800.,54,London
A00091,99844394,9202,STC 10085; ESTC S108738,Free,"Church of England.; Henry VIII, King of England, 1491-1547.",1538,Iniunctions gyuen by th [sic] auctoritie of the kynges highnes to the clergie of this his realme; Injunctions. 1538,,6,London
A00092,99847167,12190,STC 10086; ESTC S111907,Free,"Church of England.; Henry VIII, King of England, 1491-1547.",1538,Iniunctions for the clerge Exhibite [blank] die mensis [blank] Anno d[omi]ni M.CCCCC.xxxviii.; Injunctions. 1538,Church of England -- History -- Early works to 1800.; Reformation -- England -- Early works to 1800.,1,London
A00102,22841048,25804,STC 10100.3; ESTC S850,Free,"England and Wales. Sovereign (1558-1603 : Elizabeth I); Elizabeth I, Queen of England, 1533-1603.",1559,"Iniunctions geven by the Quenes Maiestie anno Domini MD.LIX., the fyrst yeare of the raigne of our Soueraigne Lady Quene Elizabeth.",Church of England -- Government.; Ecclesiastical law -- England.,36,London
A00156,99851064,16318,STC 1015; ESTC S115847,Free,"Aytoun, Robert, Sir, 1570-1638.",1624,"In obitum ThomÃŒ_ RhÃŒ_di viri vndequaque meritissimi, et serenissimo regi ab epistolis Latinis epicedium.","Reid, Thomas, d. 1624 -- Poetry -- Early works to 1800.; Funeral sermons -- 17th century.",8,London
A00157,99847661,12713,STC 10152; ESTC S112407,Free,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575.",1563,"Articles to be enquired of in the visitation of the moste Reuerend father in God, Matthew, by the sufferaunce of God Archebyshop of Canterbury, Primate of all Englande, and Metropolitane in the yeare of oure Lorde God, M, D. LXIII.; Visitation articles. 1563","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Early works to 1800.",12, London
A00158,22884259,25857,STC 10155.3; ESTC S857,Free,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583.",1577,"Articles to be enquired of, within the prouince of Canterburie, in the metropoliticall visitation of the Moste Reuerende Father in God, Edmonde, Archbishop of Canterburie, primate of all Englande, and metropolitane in the xviij yeare of the reygne of our most gracious souereygne Ladie Elizabeth, by the grace of God, Queene of Englande, Fraunce, and Irelande, defender of the fayth, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",24, London
A00159,24399905,27630,STC 10155.7; ESTC S2631,Free,"Church of England. Province of Canterbury. Archbishop (1575-1583 : Grindal); Grindal, Edmund, 1519?-1583.",1580,"Articles to be enquired of within the prouince of Canterburie in the metropoliticall visitation of the most reuerend father in God, Edmond Archbishop of Canterburie, primate of all England and metropolitane in the xxii yeere of the reigne of our most gracious souereigne Ladie Elizabeth, by the grace of God, Queene of England, Fraunce and Ireland, defender of the faith, &c.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",22, London
A00164,99851065,16319,STC 1016; ESTC S115848,Free,"Aytoun, Robert, Sir, 1570-1638.",1626,"Lessus in funere Raphaelis Thorii medici et poetÃŒ_ prÃŒ_stantissimi, qui Londini peste extinctus bonis et doctis omnibus triste sui desiderium reliquit, Anno 1625.","Thorius, Raphael, d. 1625 -- Poetry -- Early works to 1800.; Funeral sermons -- 17th century.",7,London
A00171,23024568,26095,STC 10182.5; ESTC S2094,Free,"Church of England. Diocese of Chichester. Bishop (1628-1638 : Montagu); Montagu, Richard, 1577-1641.",1631,"Articles to be enquired of, throughout the whole diocesse of Chichester ministred and giuen in charge to the church-wardens and sidemen within the same diocesse by the reuerend father in God Richard by Gods prouidence Bishop of Chichester, in his generall visitation holden anno Domini 1631.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",20,London
A00179,20191373,23790,STC 1020.5; ESTC S1525,Free,"Boorde, Andrew, 1490?-1549.",1565,Merie tales of the made men of Gotam gathered to gether by A.B. of phisike doctour.; Merry tales of the mad men of Gotham.,,40,London
A00190,22372238,25483,STC 10227.3; ESTC S422,Free,"Church of England. Province of Canterbury. Archbishop (1611-1633 : Abbot); Abbot, George, 1562-1633.",1632,"Articles to be enquired of, in the ordinarie visitation of the most reuerend father in God, George by Gods providence, Lord Arch-bishop of Canterbury ... holden in the yeere of our Lord God, 1632, and in the two and twenty yeere of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",16, London
A00191,24404091,27642,STC 10228.5; ESTC S2637,Free,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594.",1571,"Articles to be inquired of the clergie set foorth by the reuerend father in God, Thomas Bishop of Lincoln, in his first visitation for his diocesse, anno Domini 1571.","Church of England -- Government.; Visitations, Ecclesiastical -- England.",12,London
A00193,22914254,25865,STC 10230.5; ESTC S863,Free,"Church of England. Diocese of Lincoln. Bishop (1570-1584 : Cooper); Cooper, Thomas, 1517?-1594.",1580,"Interrogatories to bee enquyred of by the churche-wardens and sworne-menne within the diocesse of Lincolne, and the trueth thereof to be by them vpon their othes duly prese[n]ted vnto the Bishop there or his deputies, at his visitation, nowe to be holden this present yeare of our Lord, 1580 with particular answere to euery interrogatorie.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",14, London
A00198,99837433,1754,STC 10248; ESTC S101624,Free,"Church of England. Diocese of London. Bishop (1539-1549, 1553-1559 : Bonner); Bonner, Edmund, 1500?-1569.",1554,Articles to be enquired of in the generall visitation of Edmonde Bisshoppe of London exercised by him the yeare of oure Lorde. 1.5.5.4. in the citie and diocese of London ...; Visitation articles. 1554,"Church of England. -- Diocese of London -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London.",38, Londini
A00201,99852003,17300,STC 10250; ESTC S116787,Free,"Church of England. Diocese of London. Bishop (1570-1577 : Sandys); Sandys, Edwin, 1516?-1588.",1571,"Articles to be enquired of in the visitation of the Dioces of London, by the reuerende father in God, Edwyn Bishop of London In the thirtenth yeare of the raigne of our soueraigne ladie Elizabeth, by the grace of God Queene of Englande, Fraunce and Irelande defender of the fayth. &c. 1571.; Visitation articles. 1571","Church of England. -- Diocese of London -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London.",16, London
A00211,24438958,27666,STC 10265.5; ESTC S2639,Free,"Church of England. Province of Canterbury. Archbishop (1633-1645 : Laud); Laud, William, 1573-1645.",1635,"Articles to be inquired of in the metropoliticall visitation of the most reverend father, VVilliam, by Gods providence, Lord Arch-bishop of Canterbury, primate of all England, and metropolitan in and for the dioces of London, in the yeere of our Lord God 163[blank], and in the [blank] yeere of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",13,  London
A00214,99837436,1757,STC 10267; ESTC S101627,Free,"Church of England. Diocese of London. Bishop (1633-1660 : Juxon); Juxon, William, 1582-1663.; Heylyn, Peter, 1600-1662.",1640,"Articles to be enquired of vvithin the diocesse of London In the third trienniall visitation of the Right Honourable, and Right Reverend Father in God, William, Lord Bishop of London, Lord High Treasurer of England. Holden in the yeare of our Lord God, 1640; Visitation articles. 1640","Church of England -- Pastoral letters and charges -- Early works to 1800.; Visitations, Ecclesiastical -- England -- London -- Early works to 1800.",28,London
A00215,33149764,28485,STC 10268.3; ESTC S3426,Free,Church of England. Archdeaconry of London.; England and Wales. Privy Council.; Church of England. Diocese of London. Bishop (1611-1621 : King),1615,"Articles to be inquired of by the minister, churchwardens, and sidemen of euery parish, and precinct, within the archdeaconrie of London according to the speciall direction of certaine letters heretofore sent to the Lord Bishop of London, from the right honourable lords of the Privie Councell.","Church of England -- Pastoral letters and charges.; Anti-Catholicism -- England -- London.; Visitations, Ecclesiastical -- England -- London.; Great Britain -- History -- James I, 1603-1625.; Broadsides -- London (England) -- 17th century.",1,London
A00227,99837440,1761,STC 10285; ESTC S101631,Free,"Church of England. Diocese of Norwich.; Cranmer, Thomas, 1489-1556.; Church of England. Province of Canterbury. Archbishop (1533-1556 : Cranmer)",1549,"Articles to be inquired of in the visitation to be had in the byshopricke of Norwyche, now vacant in the fourth yere of our most drad souerayn lorde Edwarde the sixte ... by the moste Reuerend father in God, Thomas Archebyshop of Cantorbery, prymate of all England and metropolitan.; Visitation articles. 1549","Church of England. -- Diocese of Norwich -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Norwich.",10,Londini
A00229,99855751,21253,STC 10287; ESTC S120555,Free,"Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker); Parker, Matthew, 1504-1575.; Church of England. Diocese of Norwich.",1567,"Articles to be enquired of within the dioces of Norwiche, in the metropoliticall visitation of the moste Reuerend father in God, Mathew, by the prouidence of God, Archebyshop of Canterbury Primate of all Englande, and Metropolitane, in the yeare of our Lorde God, M. D. LXVII.; Visitation articles. 1567","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England.",14, London
A00230,23026350,26103,STC 10289.7; ESTC S2099,Free,"Church of England. Province of Canterbury. Archbishop (1604-1610 : Bancroft); Bancroft, Richard, 1544-1610.",1605,"Articles to be inquired of, in the first metropoliticall visitation, of the most reuerend father, Richarde by Gods prouidence, archbushop [sic] of Canterbury, and primat of all Englande in, and for the dioces of Noruuich, in the yeare of our Lorde God 1605, and in the first yeare of His Graces translation.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",16, London
A00233,99857650,23417,STC 10298; ESTC S122526,Free,"Church of England. Diocese of Norwich. Bishop (1635-1638 : Wren); Wren, Matthew, 1585-1667.",1636,"Articles to be inquired of vvithin the dioces of Norwich in the first visitation of the R. Reverend Father in God, Matthevv, Lord Bishop of Norwich.; Visitation articles. 1636","Church of England. -- Diocese of Norwich -- Early works to 1800.; Visitations, Ecclesiastical -- England -- Norwich -- Early works to 1800.",20,  London
A00234,19999272,23599,STC 1030.7; ESTC S1049,Free,G. B.,1591,"Newes out of France for the gentlemen of England a stratagem most ventrously attempted, and valiantly atchiued by the French King, the 27. day of Iuly. anno Domini 1591 : wherein is desciphered, what trust His Royall Maiestie reposeth on the valour of the English, and their duetifull seruice vnto him at all assayes : newes also touching 16. shippes taken nigh the hauen of deepe, and the discomfiture of the Popes forces transported into France towards the ayde of the leaguers, both concurring on the 28. of Iuly last past : vvith a report of the princely meeting, and honorable conioyning of the whole power of the French King the sixt day of this present moneth of August, consisting of English, Germane, and his owne people.","France -- History -- Henry IV, 1589-1610.",23, London
A00235,99848676,13787,STC 1030; ESTC S113442,Free,"G. B., fl. 1592-1597.",1635,"A new song, called Jacke Doues resolution by which he doth show, that he cares not a rush how ere the world goe. To the tune of, To driue the cold winter away.; Jacke Doves resolution","Ballads, English -- 17th century.",2,  London
A00249,99851842,17134,STC 1032; ESTC S116626,Free,"H. B., fl. 1588.",1588,A consolatory letter to all the afflicted Catholikes in England,Catholics -- England.,112, Roan in Normandy i.e. London
A00254,22915746,25879,STC 10326.5; ESTC S871,Free,"Church of England. Diocese of Salisbury. Bishop (1559-1571 : Jewel); Jewel, John, 1522-1571.",1569,"Iniunctions giuen by the Reuerend Father in Christ John by Gods prouidence, Bishop of Sarisburie [sic], aswel to the cleargie, as to the churche wardens and enquirers of euerye seueral parish, aswel of his peculiar as general iurisdiction within and of the diocesse of Sarum to be obserued and kept of euery of them in their offices and callings, as to them shal appertaine, for the aduauncement of Gods honor, thincrease of vertue, and good order to be continued within his sayd diocesse, and the same to be enquired of and put in vse by all the Archdeacons, commissaries, and other officers excercising ecclesiastical iurisdiction vnder the sayde Bishop according to the limittes of their seueral offices and iurisdictions, in their synodes, visitations, inquiries, and courts.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",18, London
A00256,23030244,26113,STC 10329.3; ESTC S2106,Free,"Church of England. Diocese of Salisbury. Bishop (1618-1619 : Fotherby); Fotherby, Martin, Bishop of Salisbury, 1559-1619.",1619,"Articles to be enquired of, vvithin the Diocesse of Sarisbury, in the first visitation of the right reuerend father in God, Martin, by the prouidence of God, Lord Bishoppe of Sarum holden in the yeere of our Lord God, 1619.","Church of England -- Pastoral letters and charges.; Visitations, Ecclesiastical -- England.",20, London
A00257,99852480,17804,STC 1033; ESTC S117265,Free,"H. B., fl. 1566.",1566,The true discripcion of a childe with ruffes borne in the parish of Micheham in the cou[n]tie of Surrey in the yeere of our Lord. M.D.LXvi,Skin -- Diseases -- Early works to 1800.; Monsters -- Early works to 1800.,4, London
A00259,99854116,19523,STC 1034; ESTC S118909,Free,"H. B., fl. 1593.; Broughton, Hugh, 1549-1612, attributed name.",1593,"Moriemini. A verie profitable sermon preached before her Maiestie at the court, about xiij. yeares since: by H.B.","Sermons, English -- 16th century.",27,London
A01084,99835836,61,STC 11198; Thomason E160_5; ESTC R212820,Free,,1640,"Fortunes tennis-ball a warning to all that are nursers of pride, for justice is knowne to be eagle-ey'd .... Or, A proviso for all those that are elevated, to take heed of falling, for fortune spights more the mightie then the poore: according to the poet: qui cadit in terram non habet unde cadit.","Laud, William, 1573-1645 -- Controversial literature -- Early works to 1800.",8,London
A01085,99850480,15688,STC 112; ESTC S115261,Free,"Adams, Thomas, fl. 1612-1653.",1622,Eirenopolis: = the citie of peace Surueyed and commended to all Christians. By Tho. Adams.,Peace -- Religious aspects -- Early works to 1800.,192,London
A01086,20175836,23665,STC 1120; ESTC S101540,Free,"Bacon, Francis, 1561-1626.",1604,"Certaine considerations touching the better pacification, and edification of the Church of England dedicated to His most excellent Maiestie.",Church of England -- Bishops -- Temporal power.; Church of England -- Liturgy.,46,London
A01089,99838255,2628,STC 11201; ESTC S102472,Free,"Foster, Samuel, d. 1652.",1638,"The art of dialling by a new, easie, and most speedy way. Shewing, how to describe the houre-lines upon all sorts of plaines, howsoever, or in what latitude soever scituated: as also, to find the suns azimuth, whereby the sight of any plaine is examined. Performed by a quadrant, fitted with lines necessary to the purpose. Invented and published by Samuel Foster, professor of astronomie in Gresham Colledge.",Dialing -- Early works to 1800.; Quadrant -- Early works to 1800.,55,London
A01090,99838315,2689,STC 11202; ESTC S102538,Free,"Foster, Thomas, b. 1590 or 91.",1631,"Plouto-mastix: the scourge of covetousnesse: or, An apologie for the publike good, against privacie A sermon preached at the assises in Deuon, at the command of the Lord Byshop of Exon, anno, 1630. By Thomas Foster, Master of Arts and rector of Farway.","Sermons, English -- 17th century.; Avarice -- Sermons.",34,London
A01091,99838259,2632,STC 11203; ESTC S102476,Free,"Foster, William, 1591-1643.",1631,"Hoplocrisma-spongus: or, A sponge to vvipe avvay the weapon-salve A treatise, wherein is proved, that the cure late-taken up amongst us, by applying the salve to the weapon, is magicall and unlawfull By William Foster Mr. of Arts, and parson of Hedgley in the county of Buckingham.; Hoplocrisma-spongus.","Medicine, Magic, mystic, and spagiric -- Early works to 1800.",74,London
A01092,99855904,21412,STC 11204; ESTC S120710,Free,"Foster, William, 1591-1643.",1629,"The means to keepe sinne from reigning in our mortall body A sermon preached at Pauls Crosse, May 26. 1629. By William Foster, Master of Arts, and parson of Hedgeley in the county of Buckingham.","Sermons, English -- 17th century.",38,London
A01093,99856518,22084,STC 11205; ESTC S121334,Free,"Fotherby, Martin, 1549 or 50-1620.",1622,"Atheomastix clearing foure truthes, against atheists and infidels: 1. That, there is a God. 2. That, there is but one God. 3. That, Iehouah, our God, is that one God. 4. That, the Holy Scripture is the Word of that God. All of them proued, by naturall reasons, and secular authorities; for the reducing of infidels: and, by Scriptures, and Fathers, for the confirming of Christians. By the R. Reuerend Father in God, Martin Fotherby, late Bishop of Salisbury. The contents followes, next after the preface.",God -- Proof -- Early works to 1800.; Apologetics -- Early works to 1800.,378,London
A01094,99838306,2680,STC 11206; ESTC S102529,Free,"Fotherby, Martin, 1549 or 50-1620.",1608,"Foure sermons, lately preached, by Martin Fotherby Doctor in Diuinity, and chaplain vnto the Kings Maiestie. The first at Cambridge, at the Masters Commencement. Iuly 7. anno 1607. The second at Canterbury, at the Lord Archbishops visitation. Septemb. 14. anno 1607. The third at Paules Crosse, vpon the day of our deliuerance from the gun-powder treason. Nouemb. 5. anno 1607. The fourth at the court, before the Kings Maiestie. Nouemb. 15. anno 1607. Whereunto is added, an answere vnto certaine obiections of one vnresolued, as concerning the vse of the Crosse in baptisme: written by him in anno 1604. and now commanded to be published by authoritie","Cross, Sign of the -- Early works to 1800.; Baptism -- Early works to 1800.",236, London
A01095,99856516,22082,STC 11207; ESTC S121332,Free,"Fougasses, Thomas de.; Shute, W.",1612,"The generall historie of the magnificent state of Venice From the first foundation thereof vntill this present. Collected by Thomas de Fougasses, gentleman of Auignon, out of all authors, both ancient and moderne, that haue written of that subiect. Englished by VV. Shute. Gent.; Histoire gÃŒÂ©nÃŒÂ©rale de Venise. English",Venice (Italy) -- History -- Early works to 1800.,1124,London
A01097,99848979,14106,STC 11210; ESTC S113749,Free,"Foulweather, Adam.; Nash, Thomas, 1567-1601, attributed name.",1591,"A vvonderfull, strange and miraculous astrologicall prognostication for this yeere 1591 Discouering such wonders to happen this yeere, an neuer chaunced since Noes floud. Wherein if there be found one lye, the author will loose his credit for euer. Newly corrected. By Adam Fouleweather, student in astronomy.; Wonderfull, strange and miraculous, astrologicall prognostication for this yeer of our Lord God. 1591.","Harvey, Richard, 1560-1623? -- Plaine Percevall the peace-maker of England.; Harvey, Richard, 1560-1623? -- Theological discourse of the Lamb of God and his enemies.; Marprelate controversy -- Early works to 1800.",26, London
A01098,33143394,28443,STC 11211.5; ESTC S3384,Free,,1623,"Which of these fower, that here you see, in greatest daunger you thinke to be",Lawyers -- Humor.; Clergy -- Humor.; Broadsides -- London (England) -- 17th century.,1,London
A01099,99838270,2643,STC 11212; ESTC S102487,Free,"Fowler, John, Brownist.; Saunders, Clement. aut; Bulwarde, Robert. aut",1612,"A shield of defence against the arrovves of schisme shot abroad by Iean de L'escluse in his advertisment against Mr. Brightman Here vnto is prefixed a declaration touching a booke intituled, The profane schisme of the Brovvnists. By Iohn Fovvler. Clement Saunders. Robert Bulvvarde.","L'ÃŒÃ¤cluse, Jean de. -- Advertisement to everie godly reader of Mr. Thomas Brithsman his book.; Prophane schisme of the Brownists.; Brownists -- Controversial literature.",46,  Amsterdam
A01100,99854892,20347,STC 11213; ESTC S119685,Free,"Fowler, William, 1560?-1612.",1581,An ansvver to the calumnious letter and erroneous propositions of an apostat named M. Io. Hammiltoun. Composed by M. VVilliam Fouler,"Hamilton, John, fl. 1568-1609.; Catholic Church -- Controversial literature -- Early works to 1800.",54,Imprentit  Edinburgh
A01101,99839728,4176,STC 11214.6; ESTC S103986,Free,"Fowler, William, 1560?-1612.",1594,"A true reportarie of the most triumphant, and royal accomplishment of the baptisme of the most excellent, right high, and mightie prince, Frederik Henry; by the grace of God, Prince of Scotland Solemnized the 30. day of August. 1594.","Henry Frederick, -- Prince of Wales, 1594-1612 -- Early works to 1800.",30,Edinburgh
A01108,99841371,5949,STC 11221; ESTC S105645,Free,"Foxe, Luke, 1586-1635.",1635,"North-vvest Fox, or, Fox from the North-west passage Beginning vvith King Arthur, Malga, Octhur, the two Zeni's of Iseland, Estotiland, and Dorgia; following with briefe abstracts of the voyages of Cabot, Frobisher, Davis, Waymouth, Knight, Hudson, Button, Gibbons, Bylot, Baffin, Hawkridge ... Mr. Iames Hall's three voyages to Groynland, with a topographicall description of the countries, the salvages lives and treacheries, how our men have beene slayne by them there, with the commodities of all those parts ... demonstrated in a polar card, wherein are all the maines, seas, and ilands, herein mentioned. With the author his owne voyage, being the XVIth. with the opinions and collections of the most famous mathematicians, and cosmographers ... By Captaine Luke Foxe of Kingstone vpon Hull, capt. and pylot for the voyage, in his Majesties Pinnace the Charles. Printed by his Majesties command.",Voyages and travels -- Early works to 1800.; Northwest Passage -- Early works to 1800.,311,London
A01118,99852165,17474,STC 11231; ESTC S116950,Free,"Foxe, John, 1516-1587.; Day, Richard, b. 1552.",1579,"Christ Iesus triumphant A fruitefull treatise, wherin is described the most glorious triumph, and conquest of Christ Iesus our sauiour, ouer sinne, death, the law, the strength and pride of Sathan, and the world, with all other enemyes whatsoeuer agaynst the poore soule of man: made too be read for spirituall comfort, by Iohn Foxe, and from Latin translated intoo English by the printer.; Christus triumphans. English. Selections",Salvation -- Early works to 1800.,80, London
A01125,99848670,13780,STC 11238; ESTC S113436,Free,"J. F., fl. 1587.; Foxe, John, 1516-1587, attributed name.; Fielde, John, d. 1588, attributed name.",1587,"A most breefe manner of instruction, to the principles of Christian religion. By J.F.","Catechisms, English -- Early works to 1800.",18, London
A01129,99838323,2697,STC 11240; ESTC S102546,Free,"Foxe, John, 1516-1587.",1580,Papa confutatus SanctÃŒ_ & apostolicÃŒ_ Ecclesiae in confutationem PapÃŒ_. Actio prima.,Catholic Church -- Controversial literature.,238,Londini
